epoch,accuracy,loss,val_accuracy,val_loss
0,0.7968000173568726,0.4384790062904358,0.5394999980926514,0.705646276473999
1,0.897599995136261,0.25727835297584534,0.8974999785423279,0.22672343254089355
2,0.9225999712944031,0.19766728579998016,0.9200000166893005,0.19745749235153198
3,0.9375,0.16321313381195068,0.9049999713897705,0.2305440753698349
4,0.9483000040054321,0.1358630210161209,0.9244999885559082,0.18946979939937592
5,0.9570000171661377,0.10791385173797607,0.940500020980835,0.1533108502626419
6,0.963100016117096,0.09735876321792603,0.9004999995231628,0.2946814298629761
7,0.9703999757766724,0.07699400931596756,0.9150000214576721,0.28913259506225586
8,0.9739000201225281,0.06646278500556946,0.9424999952316284,0.1725231111049652
9,0.9796000123023987,0.057320188730955124,0.9340000152587891,0.278706818819046
10,0.9847000241279602,0.04333171248435974,0.9409999847412109,0.2278451770544052
11,0.9843000173568726,0.040367353707551956,0.9434999823570251,0.19488945603370667
12,0.9848999977111816,0.04371394217014313,0.9455000162124634,0.20545248687267303
13,0.9854000210762024,0.04675859957933426,0.9480000138282776,0.20907028019428253
14,0.991100013256073,0.02592785283923149,0.9419999718666077,0.2113173007965088
15,0.9904999732971191,0.02861490473151207,0.9459999799728394,0.22867122292518616
16,0.9905999898910522,0.025716613978147507,0.9440000057220459,0.21757842600345612
17,0.9857000112533569,0.042865414172410965,0.9304999709129333,0.7996633648872375
18,0.9912999868392944,0.024148624390363693,0.9480000138282776,0.20797550678253174
19,0.992900013923645,0.020055251196026802,0.9424999952316284,0.28387776017189026
20,0.9936000108718872,0.019788865000009537,0.9384999871253967,0.23283737897872925
21,0.9948999881744385,0.015960661694407463,0.9380000233650208,0.29672032594680786
22,0.9930999875068665,0.021368518471717834,0.9524999856948853,0.23193864524364471
23,0.9926000237464905,0.024600915610790253,0.9480000138282776,0.18328459560871124
24,0.9937999844551086,0.0176281426101923,0.9424999952316284,0.28615161776542664
25,0.9966999888420105,0.011284925974905491,0.9384999871253967,0.297349214553833
26,0.9944000244140625,0.014052842743694782,0.9434999823570251,0.3027806580066681
27,0.9948999881744385,0.01577206701040268,0.9390000104904175,0.43873292207717896
28,0.9926000237464905,0.02347419410943985,0.9470000267028809,0.2273082286119461
29,0.9939000010490417,0.0170303825289011,0.9505000114440918,0.22816526889801025
